"Time Stamp","Time Zone","Name","PTID","Load"
"05/28/2017 00:00:00","EDT","CAPITL",61757,1049.7
"05/28/2017 00:00:00","EDT","CENTRL",61754,1390.1
"05/28/2017 00:00:00","EDT","DUNWOD",61760,564.4
"05/28/2017 00:00:00","EDT","GENESE",61753,829.6
"05/28/2017 00:00:00","EDT","HUD VL",61758,860.7
"05/28/2017 00:00:00","EDT","LONGIL",61762,1904.2
"05/28/2017 00:00:00","EDT","MHK VL",61756,694.5
"05/28/2017 00:00:00","EDT","MILLWD",61759,235.4
"05/28/2017 00:00:00","EDT","N.Y.C.",61761,4735.2
"05/28/2017 00:00:00","EDT","NORTH",61755,395.8
"05/28/2017 00:00:00","EDT","WEST",61752,1367.9
"05/28/2017 00:05:00","EDT","CAPITL",61757,1047.5
"05/28/2017 00:05:00","EDT","CENTRL",61754,1381.2
"05/28/2017 00:05:00","EDT","DUNWOD",61760,546.2
"05/28/2017 00:05:00","EDT","GENESE",61753,807.7
"05/28/2017 00:05:00","EDT","HUD VL",61758,849.2
"05/28/2017 00:05:00","EDT","LONGIL",61762,1891.6
"05/28/2017 00:05:00","EDT","MHK VL",61756,690.2
"05/28/2017 00:05:00","EDT","MILLWD",61759,224
"05/28/2017 00:05:00","EDT","N.Y.C.",61761,4693.6
"05/28/2017 00:05:00","EDT","NORTH",61755,408.4
"05/28/2017 00:05:00","EDT","WEST",61752,1397
"05/28/2017 00:10:00","EDT","CAPITL",61757,1046.3
"05/28/2017 00:10:00","EDT","CENTRL",61754,1409.6
"05/28/2017 00:10:00","EDT","DUNWOD",61760,543.9
"05/28/2017 00:10:00","EDT","GENESE",61753,809.5
"05/28/2017 00:10:00","EDT","HUD VL",61758,858.2
"05/28/2017 00:10:00","EDT","LONGIL",61762,1872.6
"05/28/2017 00:10:00","EDT","MHK VL",61756,674.4
"05/28/2017 00:10:00","EDT","MILLWD",61759,222.5
"05/28/2017 00:10:00","EDT","N.Y.C.",61761,4682.1
"05/28/2017 00:10:00","EDT","NORTH",61755,394.6
"05/28/2017 00:10:00","EDT","WEST",61752,1359.6
"05/28/2017 00:15:00","EDT","CAPITL",61757,1039.2
"05/28/2017 00:15:00","EDT","CENTRL",61754,1364.4
"05/28/2017 00:15:00","EDT","DUNWOD",61760,560.8
"05/28/2017 00:15:00","EDT","GENESE",61753,817.3
"05/28/2017 00:15:00","EDT","HUD VL",61758,841.6
"05/28/2017 00:15:00","EDT","LONGIL",61762,1884.4
"05/28/2017 00:15:00","EDT","MHK VL",61756,687.8
"05/28/2017 00:15:00","EDT","MILLWD",61759,199.8
"05/28/2017 00:15:00","EDT","N.Y.C.",61761,4663.3
"05/28/2017 00:15:00","EDT","NORTH",61755,389.3
"05/28/2017 00:15:00","EDT","WEST",61752,1346.3
"05/28/2017 00:20:00","EDT","CAPITL",61757,1032.5
"05/28/2017 00:20:00","EDT","CENTRL",61754,1390.3
"05/28/2017 00:20:00","EDT","DUNWOD",61760,558.3
"05/28/2017 00:20:00","EDT","GENESE",61753,803.8
"05/28/2017 00:20:00","EDT","HUD VL",61758,806.3
"05/28/2017 00:20:00","EDT","LONGIL",61762,1839.9
"05/28/2017 00:20:00","EDT","MHK VL",61756,663.3
"05/28/2017 00:20:00","EDT","MILLWD",61759,224.7
"05/28/2017 00:20:00","EDT","N.Y.C.",61761,4611.9
"05/28/2017 00:20:00","EDT","NORTH",61755,396.8
"05/28/2017 00:20:00","EDT","WEST",61752,1336.9
"05/28/2017 00:25:00","EDT","CAPITL",61757,1021.8
"05/28/2017 00:25:00","EDT","CENTRL",61754,1389
"05/28/2017 00:25:00","EDT","DUNWOD",61760,537.3
"05/28/2017 00:25:00","EDT","GENESE",61753,794.2
"05/28/2017 00:25:00","EDT","HUD VL",61758,823.5
"05/28/2017 00:25:00","EDT","LONGIL",61762,1841.2
"05/28/2017 00:25:00","EDT","MHK VL",61756,658.2
"05/28/2017 00:25:00","EDT","MILLWD",61759,223.1
"05/28/2017 00:25:00","EDT","N.Y.C.",61761,4601.2
"05/28/2017 00:25:00","EDT","NORTH",61755,391.3
"05/28/2017 00:25:00","EDT","WEST",61752,1328
"05/28/2017 00:30:00","EDT","CAPITL",61757,1012.7
"05/28/2017 00:30:00","EDT","CENTRL",61754,1391.6
"05/28/2017 00:30:00","EDT","DUNWOD",61760,531.6
"05/28/2017 00:30:00","EDT","GENESE",61753,783.3
"05/28/2017 00:30:00","EDT","HUD VL",61758,815.8
"05/28/2017 00:30:00","EDT","LONGIL",61762,1828.9
"05/28/2017 00:30:00","EDT","MHK VL",61756,645.9
"05/28/2017 00:30:00","EDT","MILLWD",61759,228.4
"05/28/2017 00:30:00","EDT","N.Y.C.",61761,4587
"05/28/2017 00:30:00","EDT","NORTH",61755,393.1
"05/28/2017 00:30:00","EDT","WEST",61752,1327.8
"05/28/2017 00:35:00","EDT","CAPITL",61757,1013.1
"05/28/2017 00:35:00","EDT","CENTRL",61754,1377.9
"05/28/2017 00:35:00","EDT","DUNWOD",61760,532.8
"05/28/2017 00:35:00","EDT","GENESE",61753,780.8
"05/28/2017 00:35:00","EDT","HUD VL",61758,807.3
"05/28/2017 00:35:00","EDT","LONGIL",61762,1825.5
"05/28/2017 00:35:00","EDT","MHK VL",61756,644.9
"05/28/2017 00:35:00","EDT","MILLWD",61759,216.6
"05/28/2017 00:35:00","EDT","N.Y.C.",61761,4575.5
"05/28/2017 00:35:00","EDT","NORTH",61755,398
"05/28/2017 00:35:00","EDT","WEST",61752,1325.4
"05/28/2017 00:40:00","EDT","CAPITL",61757,1004.3
"05/28/2017 00:40:00","EDT","CENTRL",61754,1376.2
"05/28/2017 00:40:00","EDT","DUNWOD",61760,539.2
"05/28/2017 00:40:00","EDT","GENESE",61753,783.1
"05/28/2017 00:40:00","EDT","HUD VL",61758,784.5
"05/28/2017 00:40:00","EDT","LONGIL",61762,1813.6
"05/28/2017 00:40:00","EDT","MHK VL",61756,643.2
"05/28/2017 00:40:00","EDT","MILLWD",61759,221.2
"05/28/2017 00:40:00","EDT","N.Y.C.",61761,4553.1
"05/28/2017 00:40:00","EDT","NORTH",61755,400
"05/28/2017 00:40:00","EDT","WEST",61752,1320.9
"05/28/2017 00:45:00","EDT","CAPITL",61757,997.7
"05/28/2017 00:45:00","EDT","CENTRL",61754,1371.1
"05/28/2017 00:45:00","EDT","DUNWOD",61760,529.9
"05/28/2017 00:45:00","EDT","GENESE",61753,783.8
"05/28/2017 00:45:00","EDT","HUD VL",61758,806.1
"05/28/2017 00:45:00","EDT","LONGIL",61762,1808.3
"05/28/2017 00:45:00","EDT","MHK VL",61756,639.7
"05/28/2017 00:45:00","EDT","MILLWD",61759,214.6
"05/28/2017 00:45:00","EDT","N.Y.C.",61761,4526.1
"05/28/2017 00:45:00","EDT","NORTH",61755,393.4
"05/28/2017 00:45:00","EDT","WEST",61752,1312.2
"05/28/2017 00:50:00","EDT","CAPITL",61757,987.6
"05/28/2017 00:50:00","EDT","CENTRL",61754,1324.1
"05/28/2017 00:50:00","EDT","DUNWOD",61760,517.2
"05/28/2017 00:50:00","EDT","GENESE",61753,777.5
"05/28/2017 00:50:00","EDT","HUD VL",61758,810.3
"05/28/2017 00:50:00","EDT","LONGIL",61762,1804.4
"05/28/2017 00:50:00","EDT","MHK VL",61756,640.3
"05/28/2017 00:50:00","EDT","MILLWD",61759,218
"05/28/2017 00:50:00","EDT","N.Y.C.",61761,4522.9
"05/28/2017 00:50:00","EDT","NORTH",61755,395
"05/28/2017 00:50:00","EDT","WEST",61752,1295.8
"05/28/2017 00:55:00","EDT","CAPITL",61757,986.4
"05/28/2017 00:55:00","EDT","CENTRL",61754,1318.5
"05/28/2017 00:55:00","EDT","DUNWOD",61760,524.7
"05/28/2017 00:55:00","EDT","GENESE",61753,771.2
"05/28/2017 00:55:00","EDT","HUD VL",61758,793.9
"05/28/2017 00:55:00","EDT","LONGIL",61762,1804.6
"05/28/2017 00:55:00","EDT","MHK VL",61756,642.7
"05/28/2017 00:55:00","EDT","MILLWD",61759,208
"05/28/2017 00:55:00","EDT","N.Y.C.",61761,4495
"05/28/2017 00:55:00","EDT","NORTH",61755,394.1
"05/28/2017 00:55:00","EDT","WEST",61752,1312
"05/28/2017 01:00:00","EDT","CAPITL",61757,982.4
"05/28/2017 01:00:00","EDT","CENTRL",61754,1364.4
"05/28/2017 01:00:00","EDT","DUNWOD",61760,541.5
"05/28/2017 01:00:00","EDT","GENESE",61753,768.8
"05/28/2017 01:00:00","EDT","HUD VL",61758,800.3
"05/28/2017 01:00:00","EDT","LONGIL",61762,1781.1
"05/28/2017 01:00:00","EDT","MHK VL",61756,634.5
"05/28/2017 01:00:00","EDT","MILLWD",61759,199.3
"05/28/2017 01:00:00","EDT","N.Y.C.",61761,4479.5
"05/28/2017 01:00:00","EDT","NORTH",61755,394.8
"05/28/2017 01:00:00","EDT","WEST",61752,1309.2
"05/28/2017 01:05:00","EDT","CAPITL",61757,985.5
"05/28/2017 01:05:00","EDT","CENTRL",61754,1359.9
"05/28/2017 01:05:00","EDT","DUNWOD",61760,534.4
"05/28/2017 01:05:00","EDT","GENESE",61753,766.5
"05/28/2017 01:05:00","EDT","HUD VL",61758,790.7
"05/28/2017 01:05:00","EDT","LONGIL",61762,1779.7
"05/28/2017 01:05:00","EDT","MHK VL",61756,626.7
"05/28/2017 01:05:00","EDT","MILLWD",61759,200.8
"05/28/2017 01:05:00","EDT","N.Y.C.",61761,4459.8
"05/28/2017 01:05:00","EDT","NORTH",61755,394.8
