"Time Stamp","Time Zone","Name","PTID","Load"
"06/24/2017 00:00:00","EDT","CAPITL",61757,1479.1
"06/24/2017 00:00:00","EDT","CENTRL",61754,1785.2
"06/24/2017 00:00:00","EDT","DUNWOD",61760,871
"06/24/2017 00:00:00","EDT","GENESE",61753,1144.8
"06/24/2017 00:00:00","EDT","HUD VL",61758,1349.1
"06/24/2017 00:00:00","EDT","LONGIL",61762,2847
"06/24/2017 00:00:00","EDT","MHK VL",61756,812.9
"06/24/2017 00:00:00","EDT","MILLWD",61759,373.4
"06/24/2017 00:00:00","EDT","N.Y.C.",61761,7508.7
"06/24/2017 00:00:00","EDT","NORTH",61755,444.4
"06/24/2017 00:00:00","EDT","WEST",61752,1725.5
"06/24/2017 00:05:00","EDT","CAPITL",61757,1478.9
"06/24/2017 00:05:00","EDT","CENTRL",61754,1760.6
"06/24/2017 00:05:00","EDT","DUNWOD",61760,861.3
"06/24/2017 00:05:00","EDT","GENESE",61753,1143.5
"06/24/2017 00:05:00","EDT","HUD VL",61758,1334.7
"06/24/2017 00:05:00","EDT","LONGIL",61762,2814.3
"06/24/2017 00:05:00","EDT","MHK VL",61756,814.1
"06/24/2017 00:05:00","EDT","MILLWD",61759,365.6
"06/24/2017 00:05:00","EDT","N.Y.C.",61761,7416.9
"06/24/2017 00:05:00","EDT","NORTH",61755,444.1
"06/24/2017 00:05:00","EDT","WEST",61752,1735.7
"06/24/2017 00:10:00","EDT","CAPITL",61757,1464.8
"06/24/2017 00:10:00","EDT","CENTRL",61754,1697.3
"06/24/2017 00:10:00","EDT","DUNWOD",61760,844.4
"06/24/2017 00:10:00","EDT","GENESE",61753,1131.9
"06/24/2017 00:10:00","EDT","HUD VL",61758,1315.6
"06/24/2017 00:10:00","EDT","LONGIL",61762,2783.1
"06/24/2017 00:10:00","EDT","MHK VL",61756,831.3
"06/24/2017 00:10:00","EDT","MILLWD",61759,378.4
"06/24/2017 00:10:00","EDT","N.Y.C.",61761,7368.9
"06/24/2017 00:10:00","EDT","NORTH",61755,442.2
"06/24/2017 00:10:00","EDT","WEST",61752,1721.5
"06/24/2017 00:15:00","EDT","CAPITL",61757,1469.1
"06/24/2017 00:15:00","EDT","CENTRL",61754,1696.6
"06/24/2017 00:15:00","EDT","DUNWOD",61760,833.7
"06/24/2017 00:15:00","EDT","GENESE",61753,1127.2
"06/24/2017 00:15:00","EDT","HUD VL",61758,1311.4
"06/24/2017 00:15:00","EDT","LONGIL",61762,2768.2
"06/24/2017 00:15:00","EDT","MHK VL",61756,827.1
"06/24/2017 00:15:00","EDT","MILLWD",61759,382.5
"06/24/2017 00:15:00","EDT","N.Y.C.",61761,7352.5
"06/24/2017 00:15:00","EDT","NORTH",61755,461.1
"06/24/2017 00:15:00","EDT","WEST",61752,1708.8
"06/24/2017 00:20:00","EDT","CAPITL",61757,1446.8
"06/24/2017 00:20:00","EDT","CENTRL",61754,1713
"06/24/2017 00:20:00","EDT","DUNWOD",61760,839.1
"06/24/2017 00:20:00","EDT","GENESE",61753,1119
"06/24/2017 00:20:00","EDT","HUD VL",61758,1293.2
"06/24/2017 00:20:00","EDT","LONGIL",61762,2761.5
"06/24/2017 00:20:00","EDT","MHK VL",61756,833.5
"06/24/2017 00:20:00","EDT","MILLWD",61759,374.3
"06/24/2017 00:20:00","EDT","N.Y.C.",61761,7305.4
"06/24/2017 00:20:00","EDT","NORTH",61755,441.6
"06/24/2017 00:20:00","EDT","WEST",61752,1689.3
"06/24/2017 00:25:00","EDT","CAPITL",61757,1433.5
"06/24/2017 00:25:00","EDT","CENTRL",61754,1710.1
"06/24/2017 00:25:00","EDT","DUNWOD",61760,849.2
"06/24/2017 00:25:00","EDT","GENESE",61753,1106
"06/24/2017 00:25:00","EDT","HUD VL",61758,1287.5
